nombre,direccion,lat,lng,categoria,web,instagram,zona
Veganutrition,Madrid,,,distribuidor,https://veganutrition.es,,España
Vegesan,Tenerife,,,distribuidor,,,@España
La Taula Verda,Barcelona,,,distribuidor,,,@España
Vegetal Food,Francia,,,online,,,@Francia
True Vegan,España,,,online,,,@España
Veggie Room,España,,,online,,,@España
Monveg,España,,,online,,,@España
Happy Vegetal,España,,,online,,,@España
Lo Que Diga Lola,España,,,online,,,@España
A Tenda das Herbas,España,,,online,,,@España
Universo Vegano,España,,,online,,,@España
Vegan Point,España/Canarias,,,online,,,@España
Viva la Vida Veganamente,España,,,online,,,@País Vasco
Vegans Granollers,Granollers,,,fisica,,,@Cataluña
Veggie Room,Madrid,,,fisica,,,@Madrid
Monveg,Mollet del Vallès,,,fisica,,,@Cataluña
Happy Vegetal,Alicante,,,fisica,,,@Comunidad Valenciana
Lo Que Diga Lola,Madrid,,,fisica,,,@Madrid
A Tenda das Herbas,Santiago de Compostela,,,fisica,,,@Galicia
Universo Vegano,Madrid,,,fisica,,,@Madrid
Cita Vegana,Madrid,,,fisica,,,@Madrid
Viva la Vida Veganamente,Bilbao,,,fisica,,,@País Vasco
La Deliciosa,Almería,,,fisica,,,@Andalucía
La Pesada,Madrid,,,fisica,,,@Madrid
Brutal Foodies,España,,,online,https://www.brutalfoodies.com,@brutal_foodies,España
Phydra Bio,Manacor,,,fisica,,@phydra_bio,Baleares
Ideya Verda,Zaragoza,,,online,https://ideyaverde.es,@ideya_verde,Aragón
Ideya Verda,Zaragoza,,,fisica,https://ideyaverde.es,@ideya_verde,Aragón
Kiloka Denda,Aretxabaleta,,,fisica,,@kiloka_denda,País Vasco
De Veggie,Vilafranca del Penedès,,,fisica,,@deveggievilafranca,Cataluña
V Market,Barcelona,,,online,https://vmarketbarcelona.com,@v_market_barcelona,España
V Market,Barcelona,,,fisica,https://vmarketbarcelona.com,@v_market_barcelona,Cataluña
Els Vegans Vilanova,Vilanova i la Geltrú,,,fisica,,@elvegans.vilanova,Cataluña
The Green Grocery,Málaga,,,online,https://thegreengrocery.es,@tienda_vegana_malaga,España
The Green Grocery,Málaga,,,fisica,https://thegreengrocery.es,@tienda_vegana_malaga,Andalucía
Herboristería Bardana,Pontevedra,,,fisica,https://herboristeriabardana.com,@bardanaherboristeria,Galicia
La Veganeria del Born,Barcelona,,,fisica,,@laveganeriadelborn,Cataluña
L’Espiga d’Or,Tarragona,,,fisica,,@dorlespiga,Cataluña
Ven Vegano,Barcelona,,,online,https://venvegano.com,@venvegano,España
Ven Vegano,Barcelona,,,fisica,https://venvegano.com,@venvegano,Cataluña
Ecotienda Rama,Granada,,,fisica,,@ecotiendarama,Andalucía
Sentits de Vida,Rubí,,,fisica,,@sentitsdevida,Cataluña
Vegans Terrassa,Terrassa,,,fisica,,@vegans_terrassa,Cataluña
Eco Asia,Madrid,,,fisica,https://ecoasiashop.com,@ecoasiamarket,Madrid
Natura Dietética,Castellón de la Plana,,,fisica,,@dietetica.natura,Comunidad Valenciana
La Panacea,Jerez,,,fisica,,@lapanaceabio,Andalucía
Anémona Herbolario,Gijón,,,fisica,,@anemonaherbolario,Asturias
Serra Vegana,Valencia,,,fisica,,@serra_vegana,Comunidad Valenciana
Trece Symbols,Málaga,,,fisica,,@trecesymbols,Andalucía
Herbolario Diente de León,San Isidro (Tenerife),,,fisica,https://herbolariodientedeleon.com,@herbolariodientedeleon,Canarias
Hierbas y Cosas,La Laguna (Tenerife),,,fisica,http://www.hierbasycosas.es,@hierbasycosas,Canarias
Vegan Point,Santa Cruz de Tenerife,,,fisica,,@veganpoint.tenerife,Canarias
La Huertecilla de Ana,Las Palmas de Gran Canaria,,,fisica,,@lahuertecilladeana,Canarias
Herbolario Garoé,Los Cristianos (Tenerife),,,fisica,,@riogaroeherbola,Canarias
